mnemonic,description
GGALN_G01_AC_EUR,"General Government, Assets and Liabilities, Debt (at Nominal Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALN_G01_AC_XDC,"General Government, Assets and Liabilities, Debt (at Nominal Value), Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALCU_G01_AC_EUR,"General Government, Assets and Liabilities, Debt by Currency, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALCU_G01_AC_XDC,"General Government, Assets and Liabilities, Debt by Currency, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAF_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAF_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAF_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAF_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAF_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAF_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFCD_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFCD_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFCD_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFCD_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFCD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFCD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFD_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GGAAFD_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFD_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GGADAFD_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFFD_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFFD_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFFD_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFFD_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFFD_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFFD_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFFD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFFD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFF_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GGAAFF_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFF_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFF_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GGADAFF_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFF_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFIR_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFIR_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFIR_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFIR_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFIR_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFIR_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFIR_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFIR_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFLS_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFLS_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFLS_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFLS_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFLS_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFLS_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFLS_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFLS_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFM_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFM_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFM_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFM_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFM_T_G01_CA_EUR,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GGADAFM_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFM_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFM_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFM_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Monetary Gold and SDRs, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFO_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFO_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFO_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFO_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFO_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFO_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Other Accounts Receivable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFSO_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFSO_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFSO_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFSO_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFSO_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFSO_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFSO_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFSO_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAAFAE_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAAFAE_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAAFAE_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADAFAE_T_G01_AC_USD,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADAFAE_T_G01_CA_XDC,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADAFAE_T_G01_CA_USD,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADAFAE_T_G01_AC_EUR,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADAFAE_T_G01_AC_XDC,"General Government, Assets and Liabilities, Financial Assets, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGAL_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGAL_G01_CA_EUR,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, Euros"
GGAL_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, National Currency"
GGAL_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, US Dollars"
GGAL_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGAL_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADL_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADL_T_G01_CA_EUR,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GGADL_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADL_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADL_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADL_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALCD_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALCD_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALCD_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLCD_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLCD_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLCD_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLCD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLCD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Currency and Deposits, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALD_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALD_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALD_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GGADLD_T_G01_CA_EUR,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GGADLD_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLD_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLD_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Domestic, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GGALFD_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, Euros"
GGALFD_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, National Currency"
GGALFD_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLFD_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, Euros"
GGADLFD_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, National Currency"
GGADLFD_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLFD_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLFD_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Financial Derivatives, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGALF_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALF_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALF_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GGADLF_T_G01_CA_EUR,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GGADLF_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLF_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLF_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLF_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Foreign, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALIR_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALIR_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALIR_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLIR_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLIR_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLIR_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLIR_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLIR_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALLS_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALLS_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALLS_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLLS_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLLS_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLLS_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLLS_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLLS_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLIAF_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, Euros"
GGADLIAF_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, National Currency"
GGADLIAF_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, US Dollars"
GGALO_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALO_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALO_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLO_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLO_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLO_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALSO_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALSO_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALSO_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLSO_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLSO_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLSO_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLSO_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLSO_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALAE_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALAE_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GGALAE_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GGADLAE_T_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGADLAE_T_G01_CA_XDC,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GGADLAE_T_G01_CA_USD,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US Dollars"
GGADLAE_T_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GGADLAE_T_G01_AC_XDC,"General Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GGALSDR_G01_AC_USD,"General Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of the stocks of assets and liabilities, 2001 Manual, Accrual, US Dollars"
GGALSDR_G01_AC_EUR,"General Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
